Taille_mat;Run_ID;Eff
450000;3;0.5967501490757304
450000;4;0.7401132692382546
460000;0;0.7405989921356035
460000;1;0.7275446294629463
460000;2;0.6337553087226396
460000;3;0.7385688723064037
460000;4;0.7236635953295781
470000;0;0.7367258266440828
470000;1;0.7477389939457358
470000;2;0.746901597730327
470000;3;0.6363058135097316
470000;4;0.646420263634014
480000;0;0.7469675806807322
480000;1;0.7417329732097233
480000;2;0.7173567722122207
480000;3;0.7258634853734328
480000;4;0.7437689858361087
490000;0;0.6423807599029911
490000;1;0.71984425629769
490000;2;0.7213270721318343
490000;3;0.6612972921067793
490000;4;0.735004802732221
500000;0;0.75437890974084
500000;1;0.743901794211992
500000;2;0.7522545804519855
500000;3;0.7413148096107911
500000;4;0.756867984076319
510000;0;0.7466099049732954
510000;1;0.7246204853748023
510000;2;0.7582596597513297
510000;3;0.64556781719495
510000;4;0.7465063457937444
520000;0;0.646247191675535
520000;1;0.6429779411764706
520000;2;0.7797007632498751
520000;3;0.7742058292311507
520000;4;0.7479557273846996
530000;0;0.7687420255870893
530000;1;0.7685565055505758
530000;2;0.759108863690537
530000;3;0.7712953672629139
530000;4;0.7517112894523874
540000;0;0.7693626963611055
540000;1;0.6578279965996033
540000;2;0.7332748981332322
540000;3;0.7690568475452196
540000;4;0.7624893253629377
550000;0;0.8125161207118906
550000;1;0.7998540006982575
550000;2;0.7897276801103068
550000;3;0.7949089991483456
550000;4;0.809566642037971
560000;0;0.7770036517393811
560000;1;0.7970983536525253
560000;2;0.7858901668556617
560000;3;0.7474347517949034
560000;4;0.6593411073962325
570000;0;0.8050310500267944
570000;1;0.6802152141487322
570000;2;0.7929824561403509
570000;3;0.807346990389479
570000;4;0.7702841286119322
580000;0;0.6510900177323459
580000;1;0.7696908042788002
580000;2;0.6586298768102561
580000;3;0.7697857252967474
580000;4;0.6900859567176142
590000;0;0.8329298388104461
590000;1;0.8020620262302972
590000;2;0.7925968312475848
590000;3;0.8046518996891692
590000;4;0.8272703298067078
600000;0;0.7530699451639249
600000;1;0.7856566855334429
600000;2;0.7755324261812502
600000;3;0.7788545657485897
600000;4;0.6685894447897245
610000;0;0.7769146767617938
610000;1;0.7875793357933579
610000;2;0.7871842912781778
610000;3;0.7774353818807005
610000;4;0.7727292475236054
620000;0;0.7743197131372719
620000;1;0.7705983078162773
620000;2;0.6822797227742955
620000;3;0.6587794616936475
620000;4;0.7828085715956264
630000;0;0.7775501107180859
630000;1;0.790646840366114
630000;2;0.7746540411998969
630000;3;0.7733467765002002
630000;4;0.7709432294488324
640000;0;0.7660740617088168
640000;1;0.7724569376648152
640000;2;0.7681899341591341
640000;3;0.6650805536098162
640000;4;0.7751097849341291
650000;0;0.7670689655172414
650000;1;0.7602944795340825
650000;2;0.778232577665827
650000;3;0.7700216000664617
650000;4;0.7767108938547486
660000;0;0.7722620056304151
660000;1;0.7769764883816856
660000;2;0.6512862181038656
