Taille_mat;Run_ID;Acc
590000;4;2.335903107821021
600000;0;2.211271224546603
600000;1;2.2063108870278585
600000;2;2.1598904086669175
600000;3;2.1558775024528734
600000;4;2.152193393768886
610000;0;2.1914491652463193
610000;1;2.183780797249734
610000;2;2.204896694214876
610000;3;2.2488989105009165
610000;4;2.2094616977225674
620000;0;2.229305859090436
620000;1;2.2253225571876754
620000;2;2.1784326885919416
620000;3;2.186035594742428
620000;4;2.250856362299044
630000;0;2.2369281045751634
630000;1;2.209101864901853
630000;2;2.1765143892131213
630000;3;2.2114959921478814
630000;4;2.161463746102806
640000;0;2.2209227294724956
640000;1;1.8508124821455578
640000;2;2.19149190178678
640000;3;2.170331835737369
640000;4;2.0766243071005692
650000;0;2.174359275115829
650000;1;2.1702439024390245
650000;2;2.1639526060818306
650000;3;2.1728725482534967
650000;4;2.1676638537545556
660000;0;2.2177547536351327
660000;1;2.1653638349235544
660000;2;2.158869935626827
660000;3;2.161264413975102
660000;4;2.1515543794856176
670000;0;2.228857358549002
670000;1;2.1919855320769086
670000;2;2.1476666542321037
670000;3;2.2137309185988387
670000;4;2.217909700285076
680000;0;2.22886283481079
680000;1;2.226570683120989
680000;2;2.2304361097332976
680000;3;2.219891013348017
680000;4;2.2409959556075214
690000;0;2.1812649384077956
690000;1;2.2253296569317054
690000;2;2.1769023284830915
690000;3;2.161119915478077
690000;4;2.217219854974957
700000;0;2.1761670227791257
700000;1;2.184036927326585
700000;2;2.230737819025522
700000;3;2.2372158826485973
700000;4;2.2430616472871834
710000;0;2.220233986120699
710000;1;2.2008427725054474
710000;2;2.2252467135209932
710000;3;2.186627782151292
710000;4;2.1639399412160487
720000;0;2.1645467746732683
720000;1;2.197495559502664
720000;2;2.194494208631179
720000;3;2.1830710050818745
720000;4;1.9699536646338551
730000;0;2.192508421916182
730000;1;2.179762607156492
730000;2;2.1796869577288818
730000;3;2.182717036213248
730000;4;2.1768916155419222
740000;0;3.795699229374433
740000;1;4.599773398338255
740000;2;4.730350963914978
740000;3;4.715781692743625
740000;4;4.7180236653049725
750000;0;2.4897935536200535
750000;1;2.2343847487001733
750000;2;2.2428196162343648
750000;3;2.2617452019227398
750000;4;2.252734579765857
760000;0;4.504696445099585
760000;1;4.509566052952178
760000;2;4.511733704142419
760000;3;4.5054686964273465
760000;4;4.511733704142419
770000;0;1.5488270954138113
770000;1;1.9522100961778044
770000;2;2.0007320270339286
770000;3;1.948552574858242
770000;4;1.9447156354971622
780000;0;2.7966257166257167
780000;1;2.788632094732544
780000;2;2.825739395243376
780000;3;2.8309870831882473
780000;4;2.8169278996865206
790000;0;2.1779636387121775
790000;1;2.191302370160989
790000;2;2.223302731123601
790000;3;2.2045892851305853
790000;4;2.189986037601065
